Date,Dangote_cement,Mtn
04/07/2025,480,245
04/04/2025,480,245
04/03/2025,480,245
04/02/2025,480,245
03/28/25,480,245
03/27/25,480,245
03/26/25,480,238.4
03/25/25,480,245
03/24/25,480,245
03/21/25,480,245
03/20/25,480,245
03/19/25,480,245
03/18/25,480,245
03/17/25,480,245
03/14/25,480,245
03/13/25,480,245
03/12/2025,480,245
03/11/2025,480,245
03/10/2025,480,255.8
03/07/2025,480,255.8
03/06/2025,480,264.2
03/05/2025,480,264.2
03/04/2025,480,264.2
03/03/2025,480,264.2
02/28/25,480,264.2
02/27/25,480,264.2
02/26/25,480,264.2
02/25/25,480,264.2
02/24/25,480,264.2
02/21/25,480,264.2
02/20/25,480,264.2
02/19/25,480,264.2
02/18/25,480,264.2
02/17/25,480,264.2
02/14/25,480,264.2
02/13/25,474.1,255
02/12/2025,431,255
02/11/2025,414.9,255
02/10/2025,394,255
02/07/2025,394,255
02/06/2025,394,255
02/05/2025,394,255
02/04/2025,394,255
02/03/2025,394,253.1
01/31/25,394,250
01/30/25,394,250
01/29/25,385,250
01/28/25,385,250
01/27/25,400,250
01/24/25,400,247.9
01/23/25,400,245
01/22/25,400,247
01/21/25,400,256.3
01/20/25,400,233
01/17/25,400,233
01/16/25,400,233
01/15/25,387.9,233
01/14/25,431,233
01/13/25,478.8,242
01/10/2025,478.8,242
01/09/2025,478.8,242
01/08/2025,478.8,220
01/07/2025,478.8,200
01/06/2025,478.8,200
01/03/2025,478.8,200
01/02/2025,478.8,200
12/31/24,478.8,200
12/30/24,478.8,207.8
12/27/24,478.8,194
12/24/24,478.8,194
12/23/24,478.8,178
12/20/24,478.8,175.5
12/19/24,478.8,175.5
12/18/24,478.8,175
12/17/24,478.8,175
12/16/24,478.8,175
12/13/24,478.8,176
12/12/2024,478.8,176
12/11/2024,478.8,176
12/10/2024,478.8,176
12/09/2024,478.8,170.1
12/06/2024,478.8,170.1
12/05/2024,478.8,170
12/04/2024,478.8,170
12/03/2024,478.8,170
12/02/2024,478.8,170
11/29/24,478.8,170
11/28/24,478.8,170
11/27/24,478.8,170
11/26/24,478.8,170
11/25/24,478.8,172
11/22/24,478.8,172
11/21/24,478.8,172
11/20/24,478.8,172
11/19/24,478.8,172
11/18/24,478.8,170
11/15/24,478.8,170
11/14/24,478.8,170
11/13/24,478.8,170
11/12/2024,478.8,170
11/11/2024,478.8,169
11/08/2024,478.8,169
11/07/2024,478.8,169.7
11/06/2024,478.8,169.7
11/05/2024,478.8,169.7
11/04/2024,478.8,170.1
11/01/2024,478.8,175
10/31/24,478.8,175.1
10/30/24,478.8,175.1
10/29/24,478.8,184
10/28/24,478.8,184
10/25/24,478.8,184
10/24/24,478.8,188.5
10/23/24,478.8,188.5
10/22/24,478.8,188.5
10/21/24,478.8,188.5
10/18/24,478.8,191
10/17/24,478.8,191
10/16/24,478.8,191
10/15/24,478.8,191
10/14/24,478.8,191
10/11/2024,478.8,191
10/10/2024,478.8,190
10/09/2024,478.8,190
10/08/2024,478.8,190
10/07/2024,478.8,191.1
